Latitude,Longitude,Shop
45.27334977,-66.06040139,Tim Hortons
45.26053011,-66.07607119,Tim Hortons
45.51955854,-65.83301041,Tim Hortons
45.29851097,-66.19695231,Tim Hortons
45.94371957,-66.64690733,Tim Hortons
45.975353,-66.647155,Tim Hortons
45.94673301,-66.69413599,Tim Hortons
45.95992665,-66.63939457,Tim Hortons
45.95983141,-66.65555731,Tim Hortons
45.96938401,-66.63262467,Tim Hortons
45.98922404,-66.65212706,Tim Hortons
45.97811651,-66.59328461,Tim Hortons
45.94508955,-66.64129335,Tim Hortons
45.93943897,-66.66094601,Tim Hortons
45.967123,-66.715534,Tim Hortons
45.85134201,-66.47743464,Tim Hortons
45.840784,-66.468542,Tim Hortons
45.842323,-66.501557,Tim Hortons
45.833815,-66.489722,Tim Hortons
46.07120612,-66.06319502,Tim Hortons
48.349588,-64.676652,Tim Hortons
47.67873786,-70.18876785,Tim Hortons
47.826681,-69.54962412,Tim Hortons
47.36984917,-70.04436568,Tim Hortons
47.783106,-69.464491,Tim Hortons
46.816824,-71.250072,Tim Hortons
46.8345886,-71.27647844,Tim Hortons
46.78350933,-71.28708544,Tim Hortons
46.82874806,-71.28163891,Tim Hortons
46.78566436,-71.28196836,Tim Hortons
46.82864248,-71.27523815,Tim Hortons
46.78094387,-71.29983494,Tim Hortons
46.81464416,-71.21030735,Tim Hortons
46.849418,-71.241451,Tim Hortons
46.84084938,-71.2477541,Tim Hortons
46.766059,-71.311092,Tim Hortons
46.83543306,-71.35478497,Tim Hortons
46.860759,-71.265661,Tim Hortons
46.738577,-71.217457,Tim Hortons
46.83060342,-71.29878044,Tim Hortons
46.79823801,-71.26082182,Tim Hortons
46.80361894,-71.33145688,Tim Hortons
46.81836213,-71.33174942,Tim Hortons
46.80603744,-71.22402191,Tim Hortons
46.86263203,-71.21525042,Tim Hortons
46.79619477,-71.1700556,Tim Hortons
46.78694749,-71.35151249,Tim Hortons
46.845994,-71.215222,Tim Hortons
46.80784439,-71.3585682,Tim Hortons
46.822358,-71.251576,Tim Hortons
46.8709521,-71.27832592,Tim Hortons
46.80774223,-71.2163947,Tim Hortons
46.81943412,-71.36753082,Tim Hortons
46.78705831,-71.15651608,Tim Hortons
46.79196213,-71.17078253,Tim Hortons
46.735245,-71.283327,Tim Hortons
46.77715296,-71.35858224,Tim Hortons
46.8142763,-71.15276098,Tim Hortons
46.895369,-71.292689,Tim Hortons
46.73211694,-71.268606,Tim Hortons
46.71616824,-71.29648236,Tim Hortons
46.870847,-71.27792358,Tim Hortons
46.7897396,-71.24595702,Tim Hortons
46.730358,-71.207267,Tim Hortons
46.726901,-71.280931,Tim Hortons
46.7984789,-71.34136353,Tim Hortons
46.87432917,-71.19782947,Tim Hortons
46.88795858,-71.17399335,Tim Hortons
46.8446536,-71.38947928,Tim Hortons
46.89933778,-71.19119705,Tim Hortons
46.79307751,-71.18093743,Tim Hortons
46.77263094,-71.28180109,Tim Hortons
46.86593789,-71.35012992,Tim Hortons
46.710435,-71.292855,Tim Hortons
46.85584783,-71.41787052,Tim Hortons
46.84149465,-71.32666672,Tim Hortons
46.88716089,-71.51013585,Tim Hortons
46.982656,-71.367108,Tim Hortons
46.87388687,-71.19752274,Tim Hortons
46.791294,-71.383932,Tim Hortons
46.13023671,-70.693639,Tim Hortons
46.11428525,-70.67590637,Tim Hortons
46.213711,-70.776459,Tim Hortons
46.35212662,-72.54679678,Tim Hortons
46.371428,-72.55775034,Tim Hortons
46.35406077,-72.61633397,Tim Hortons
46.33070605,-72.59454489,Tim Hortons
46.37482946,-72.53639221,Tim Hortons
46.39875516,-72.53322078,Tim Hortons
46.38270173,-72.54596472,Tim Hortons
46.324159,-72.563938,Tim Hortons
46.33471427,-72.57598571,Tim Hortons
46.35978293,-72.59130478,Tim Hortons
46.34759276,-72.57689619,Tim Hortons
46.272014,-72.504873,Tim Hortons
46.24049,-72.600661,Tim Hortons
46.55211708,-72.74376154,Tim Hortons
46.51986522,-72.74552044,Tim Hortons
46.604932,-72.705696,Tim Hortons
46.172566,-72.135965,Tim Hortons
46.19579019,-73.00358855,Tim Hortons
46.04038186,-73.10158962,Tim Hortons
46.03050613,-73.09734106,Tim Hortons
46.040082,-73.129002,Tim Hortons
46.05865667,-73.12667259,Tim Hortons
45.398964,-71.9183,Tim Hortons
45.408958,-71.849916,Tim Hortons
45.39438717,-71.94992167,Tim Hortons
45.37509,-71.953447,Tim Hortons
45.40763986,-71.88205114,Tim Hortons
45.43398517,-71.8688525,Tim Hortons
45.368509,-71.85676769,Tim Hortons
45.4143709,-71.92294881,Tim Hortons
45.35404521,-71.86985493,Tim Hortons
