Latitude,Longitude,Shop
21.87901688,-159.4588318,Starbucks
21.9705925,-159.3795776,Starbucks
21.97106171,-159.3769836,Starbucks
21.97816658,-159.348999,Starbucks
22.06284142,-159.3215027,Starbucks
21.43505859,-158.1843567,Starbucks
21.33197975,-158.0921936,Starbucks
21.4871006,-158.0904999,Starbucks
21.32914734,-158.0866852,Starbucks
21.33812714,-158.0780334,Starbucks
21.38754654,-158.0338593,Starbucks
21.32747841,-158.0213623,Starbucks
21.33214951,-158.0168304,Starbucks
21.45850754,-158.016571,Starbucks
21.39951897,-158.0068512,Starbucks
21.45186615,-158.0059052,Starbucks
21.42700577,-158.0016632,Starbucks
21.46813393,-158.0014191,Starbucks
21.39931679,-157.9741669,Starbucks
21.38907051,-157.9527283,Starbucks
21.38365936,-157.9449158,Starbucks
21.38525963,-157.9416656,Starbucks
21.36639023,-157.9305573,Starbucks
21.37833595,-157.9302521,Starbucks
21.34472847,-157.9287567,Starbucks
21.35582733,-157.9286652,Starbucks
21.33313942,-157.924057,Starbucks
21.33502388,-157.9236755,Starbucks
21.33117676,-157.9231567,Starbucks
21.33299255,-157.9230499,Starbucks
21.33299255,-157.9230499,Starbucks
21.33191109,-157.9201965,Starbucks
21.33142281,-157.9198456,Starbucks
21.33229637,-157.919693,Starbucks
21.33135605,-157.9172363,Starbucks
21.33590126,-157.9156952,Starbucks
21.35803413,-157.897049,Starbucks
21.3356781,-157.8681641,Starbucks
21.30821228,-157.8622131,Starbucks
21.29784966,-157.861618,Starbucks
21.30887032,-157.8613586,Starbucks
21.30809784,-157.860199,Starbucks
21.29566765,-157.8562775,Starbucks
21.29378319,-157.8531647,Starbucks
21.29238129,-157.8453674,Starbucks
21.29108429,-157.843399,Starbucks
21.29130745,-157.8428955,Starbucks
21.30135155,-157.8425903,Starbucks
21.29448509,-157.8421326,Starbucks
21.29051971,-157.8417969,Starbucks
21.29009819,-157.839798,Starbucks
21.28215027,-157.8365326,Starbucks
